id;is_valid;is_delivered;delivery_date;created_date;comment
1;false;false;2021-06-18;2021-06-17;SDD Horizontal
2;true;false;2021-06-17;2021-06-18;quantifying platforms
3;false;false;2021-06-18;2021-06-18;solid eyeballs
4;false;false;2021-06-18;2021-06-17;compress interactive
5;false;false;2021-06-18;2021-06-18;de c Paix
6;true;false;2021-06-18;2021-06-18;Cotton Agent
7;true;true;2021-06-18;2021-06-18;architectures
8;false;true;2021-06-18;2021-06-18;copying
9;false;true;2021-06-18;2021-06-18;Soft
10;true;false;2021-06-18;2021-06-18;engage
